# Receptor           |   Active state                |   Inactive state         
#                    |   Multi   Orig   Templ seq_id |   Multi   Orig   Templ seq_id 
#                    
A0A096LPK9_OR4N4C    |   89.27   84.63  8f76_A  25.6 |   82.72   84.54  3uzc_A  19.3
A0A0X1KG70_OR4M2B    |   88.86   91.27  8f76_A  27.2 |   84.77   90.07  3uzc_A  17.9
A3KFT3_OR2M5         |   91.75   89.84  8f76_A  27.2 |   91.31   89.56  3vg9_A  19.2
A4D2G3_OR2A25        |   92.33   88.68  8f76_A  29.0 |   81.23   87.96  3uzc_A  20.3
A6NCV1_OR6C74        |   86.68   89.01  8f76_A  27.9 |   88.29   89.09  6tq4_B  17.6
A6ND48_OR14I1        |   88.45   86.78  8f76_A  26.4 |   84.97   87.11  4amj_B  18.0
A6NDH6_OR5H15        |   88.51   90.33  8f76_A  29.4 |   85.00   91.31  7bvq_A  19.5
A6NDL8_OR6C68        |   86.02   88.05  8f76_A  25.3 |   84.77   87.69  6me7_A  17.0
A6NET4_OR5K3         |   88.91   86.31  8f76_A  25.5 |   86.50   86.52  3uzc_A  18.1
A6NF89_OR6C6         |   89.30   92.34  8f76_A  26.4 |   82.03   92.56  7bvq_A  17.8
A6NGY5_OR51F1        |   90.95   91.94  8f76_A  44.8 |   85.63   92.68  6tq4_B  16.6
A6NH00_OR2T8         |   92.05   91.67  8f76_A  27.2 |   90.46   91.70  3vg9_A  21.2
A6NHA9_OR4C46        |   89.33   90.04  8f76_A  28.2 |   83.94   88.63  3vg9_A  18.8
A6NHG9_OR5H14        |   87.60   90.85  8f76_A  28.4 |   84.52   89.71  7bvq_A  18.4
A6NIJ9_OR6C70        |   89.08   91.32  8f76_A  26.9 |   89.54   91.29  3uzc_A  19.9
A6NJZ3_OR6C65        |   87.75   92.01  8f76_A  26.6 |   89.68   91.29  3vg9_A  17.9
A6NKK0_OR5H1         |   87.47   90.19  8f76_A  28.1 |   83.59   91.34  7bvq_A  19.8
A6NL08_OR6C75        |   87.21   91.72  8f76_A  26.9 |   91.26   91.91  7bvq_A  17.9
A6NL26_OR5B21        |   89.29   89.28  8f76_A  25.9 |   83.16   88.53  3uzc_A  19.1
A6NM03_OR2AG2        |   88.52   92.01  8f76_A  27.8 |   88.54   92.02  3uzc_A  18.7
A6NM76_OR6C76        |   85.95   90.05  8f76_A  26.0 |   82.62   90.09  3vg9_A  18.3
A6NMS3_OR5K4         |   88.98   87.89  8f76_A  28.0 |   87.35   87.60  3uzc_A  18.4
A6NMZ5_OR4C45        |   86.62   87.19  8f76_A  28.4 |   88.07   87.33  3vg9_A  17.3
A6NND4_OR2AT4        |   89.89   93.62  8f76_A  30.6 |   85.82   93.07  3uzc_A  20.0
B2RN74_OR11H12       |   91.40   87.17  8f76_A  27.3 |   86.31   86.85  3uzc_A  18.4
O14581_OR7A17        |   91.57   87.86  8f76_A  28.2 |   84.85   87.26  4amj_B  19.7
O43749_OR1F1         |   93.28   90.58  8f76_A  30.8 |   92.50   90.66  3uzc_A  19.2
O43869_OR2T1         |   91.66   89.19  8f76_A  24.1 |   89.80   88.90  2r4r_A  16.0
O60403_OR10H2        |   91.56   91.89  8f76_A  29.5 |   90.87   91.69  3uzc_A  21.0
O60404_OR10H3        |   90.83   89.10  8f76_A  27.8 |   83.71   89.40  6tos_B  18.0
O60412_OR7C2         |   92.17   90.21  8f76_A  26.6 |   84.61   90.13  4gbr_A  20.1
O60431_OR1I1         |   91.02   92.86  8f76_A  24.8 |   90.97   92.63  2r4s_A  18.3
O76000_OR2B3         |   91.80   92.77  8f76_A  26.5 |   90.36   92.95  2r4s_A  19.5
O76001_OR2J3         |   92.49   91.93  8f76_A  25.1 |   87.36   92.05  3vg9_A  18.3
O76002_OR2J2         |   91.65   92.51  8f76_A  23.7 |   90.67   92.21  3vg9_A  19.2
O76099_OR7C1         |   90.39   91.87  8f76_A  26.2 |   88.34   91.96  5jqh_A  19.7
O76100_OR7A10        |   94.32   90.30  8f76_A  28.2 |   87.06   90.19  6tos_B  19.1
O95006_OR2F2         |   89.66   90.84  8f76_A  28.1 |   89.59   90.54  2r4s_A  19.9
O95007_OR6B1         |   91.80   88.38  8f76_A  27.7 |   89.45   88.60  3uzc_A  19.9
